Poll,Date,Sample,MoE,Harris (D),Trump (R),Spread
EmersonEmerson,2/14 - 2/16,1000 RV,3.3,52,48,Harris +4
PPP (D)PPP (D),1/19 - 1/21,760 RV,3.6,48,41,Harris +7
PPP (D)PPP (D),6/8 - 6/10,679 RV,3.8,45,40,Harris +5
PPP (D)PPP (D),3/23 - 3/25,846 RV,3.4,43,39,Harris +4
PPP (D)PPP (D),2/9 - 2/11,687 RV,3.7,43,43,Tie 
PPP (D)PPP (D),12/11 - 12/12,862 RV,3.3,46,40,Harris +6
PPP (D)PPP (D),10/27 - 10/29,572 RV,4.1,45,39,Harris +6
PPP (D)PPP (D),9/22 - 9/25,865 RV,3.3,41,40,Harris +1
PPP (D)PPP (D),8/18 - 8/21,887 RV,3.3,39,39,Tie 
PPP (D)PPP (D),7/14 - 7/17,836 RV,3.4,41,40,Harris +1
PPP (D)PPP (D),6/9 - 6/11,811 RV,3.4,42,41,Harris +1
