Poll,Date,Sample,MoE,Warren (D),Trump (R),Spread
EmersonEmerson,2/14 - 2/16,1000 RV,3.3,53,47,Warren +6
PPP (D)PPP (D),1/19 - 1/21,760 RV,3.6,48,42,Warren +6
Rasmussen ReportsRasmussen,10/17 - 10/18,1000 LV,3.0,46,44,Warren +2
PPP (D)PPP (D),6/8 - 6/10,679 RV,3.8,48,40,Warren +8
PPP (D)PPP (D),3/23 - 3/25,846 RV,3.4,51,40,Warren +11
PPP (D)PPP (D),2/9 - 2/11,687 RV,3.7,44,44,Tie 
PPP (D)PPP (D),12/11 - 12/12,862 RV,3.3,51,42,Warren +9
PPP (D)PPP (D),10/27 - 10/29,572 RV,4.1,50,40,Warren +10
EmersonEmerson,10/12 - 10/14,820 RV,3.4,44,44,Tie 
PPP (D)PPP (D),9/22 - 9/25,865 RV,3.3,47,41,Warren +6
PPP (D)PPP (D),8/18 - 8/21,887 RV,3.3,45,40,Warren +5
PPP (D)PPP (D),7/14 - 7/17,836 RV,3.4,49,42,Warren +7
PPP (D)PPP (D),6/9 - 6/11,811 RV,3.4,46,43,Warren +3
PPP (D)PPP (D),5/12 - 5/14,692 RV,3.7,49,39,Warren +10
PPP (D)PPP (D),4/17 - 4/18,648 RV,3.9,46,42,Warren +4
PPP (D)PPP (D),3/27 - 3/28,677 RV,3.8,48,43,Warren +5
