CourtID,CourtName,CourtLevelID,CSPAggID,FundingID,AppealFromAdminAgency,Notes,Link,DisplayOrder,CourtLevelIDDescription,CSPAggIDDescription,USStateID,USStateName,FundingName,FundingDescription
1,Supreme Court,COLR      ,COLR      ,S,False,Assigns cases to the Court of Civil Appeals.,http://judicial.alabama.gov/supreme.cfm,1,Court of Last Resource,Court of Last Resource,1.0,Alabama,State,State funded
2,Court of Civil Appeals,IAC       ,IAC       ,S,False,-99,http://judicial.alabama.gov/civil.cfm,2,Intermediate Appellate Court,Intermediate Appellate Court,1.0,Alabama,State,State funded
3,Court of Criminal Appeals,IAC       ,IAC       ,S,False,-99,http://judicial.alabama.gov/criminal.cfm,3,Intermediate Appellate Court,Intermediate Appellate Court,1.0,Alabama,State,State funded
106,Circuit,GJ        ,GJ        ,M,True,Jury trials.,http://judicial.alabama.gov/,4,General Jurisdiction,General Jurisdiction,1.0,Alabama,Mixed,State and local funding
107,District,LJ        ,LJ        ,M,False,No jury trials.,-99,5,Limited Jurisdiction,Limited Jurisdiction,1.0,Alabama,Mixed,State and local funding
108,Municipal,LJ        ,LJ        ,L,False,No jury trials.,-99,6,Limited Jurisdiction,Limited Jurisdiction,1.0,Alabama,Local,Locally funded
109,Probate,LJ        ,GJ        ,L,False,No jury trials.,-99,7,Limited Jurisdiction,General Jurisdiction,1.0,Alabama,Local,Locally funded
4,Supreme Court,COLR      ,COLR      ,S,False,-99,http://courts.alaska.gov/appellate/appcts.htm,8,Court of Last Resource,Court of Last Resource,2.0,Alaska,State,State funded
5,Court of Appeals,IAC       ,IAC       ,S,False,-99,http://courts.alaska.gov/appellate/appcts.htm,9,Intermediate Appellate Court,Intermediate Appellate Court,2.0,Alaska,State,State funded
110,District,LJ        ,LJ        ,S,True,Jury trials in most cases.,http://www.courts.alaska.gov/trialcourts/index.htm#recs,10,Limited Jurisdiction,Limited Jurisdiction,2.0,Alaska,State,State funded
111,Superior,GJ        ,GJ        ,S,False,Jury trials in most cases.,http://www.courts.alaska.gov/trialcourts/index.htm#recs,11,General Jurisdiction,General Jurisdiction,2.0,Alaska,State,State funded
7,Supreme Court,COLR      ,COLR      ,S,False,-99,http://www.azcourts.gov/AZ-Supreme-Court,12,Court of Last Resource,Court of Last Resource,3.0,Arizona,State,State funded
8,Court of Appeal,IAC       ,IAC       ,S,True,-99,http://www.azcourts.gov/AZ-Courts/Court-of-Appeals,13,Intermediate Appellate Court,Intermediate Appellate Court,3.0,Arizona,State,State funded
115,Justice of the Peace,LJ        ,LJ        ,M,False,Jury trials except in small claims.,http://justicecourts.maricopa.gov/Judges/index.aspx/,14,Limited Jurisdiction,Limited Jurisdiction,3.0,Arizona,Mixed,State and local funding
116,Municipal,LJ        ,LJ        ,M,False,Jury trials.,http://www.azcourts.gov/AZ-Courts/City-Courts,15,Limited Jurisdiction,Limited Jurisdiction,3.0,Arizona,Mixed,State and local funding
117,Superior,GJ        ,GJ        ,M,True,Jury trials.,http://www.azcourts.gov/AZ-Courts/Superior-Court,16,General Jurisdiction,General Jurisdiction,3.0,Arizona,Mixed,State and local funding
118,Tax,GJ        ,GJ        ,M,False,No jury trials.,http://www.superiorcourt.maricopa.gov/SuperiorCourt/TaxCourt/index.asp,17,General Jurisdiction,General Jurisdiction,3.0,Arizona,Mixed,State and local funding
9,Supreme Court,COLR      ,COLR      ,S,False,May reassign cases from Court of Appeals.,https://courts.arkansas.gov/courts/supreme-court,18,Court of Last Resource,Court of Last Resource,4.0,Arkansas,State,State funded
10,Court of Appeals,IAC       ,IAC       ,S,True,-99,https://courts.arkansas.gov/courts/court-of-appeals,19,Intermediate Appellate Court,Intermediate Appellate Court,4.0,Arkansas,State,State funded
119,Circuit,GJ        ,GJ        ,M,False,Jury trials.,https://courts.arkansas.gov/courts/circuit-courts,20,General Jurisdiction,General Jurisdiction,4.0,Arkansas,Mixed,State and local funding
120,District,LJ        ,LJ        ,L,False,No jury trials.,https://courts.arkansas.gov/courts/district-courts,21,Limited Jurisdiction,Limited Jurisdiction,4.0,Arkansas,Local,Locally funded
11,Supreme Court,COLR      ,COLR      ,S,True,-99,http://www.courts.ca.gov/supremecourt.htm,22,Court of Last Resource,Court of Last Resource,5.0,California,State,State funded
12,Court of Appeal,IAC       ,IAC       ,S,True,-99,http://www.courts.ca.gov/courtsofappeal.htm,23,Intermediate Appellate Court,Intermediate Appellate Court,5.0,California,State,State funded
121,Superior,GJ        ,GJ        ,S,True,"Jury trials except in appeals, domestic relations, and juvenile cases.",http://www.courts.ca.gov/superiorcourts.htm,24,General Jurisdiction,General Jurisdiction,5.0,California,State,State funded
13,Supreme Court,COLR      ,COLR      ,S,True,-99,https://www.courts.state.co.us/Courts/Supreme_Court/Index.cfm,25,Court of Last Resource,Court of Last Resource,6.0,Colorado,State,State funded
14,Court of Appeals,IAC       ,IAC       ,S,True,-99,https://www.courts.state.co.us/Courts/Court_Of_Appeals/Index.cfm,26,Intermediate Appellate Court,Intermediate Appellate Court,6.0,Colorado,State,State funded
122,County,LJ        ,LJ        ,M,False,Jury trials except in small claims and appeals.,https://www.courts.state.co.us/Courts/County/Choose.cfm,27,Limited Jurisdiction,Limited Jurisdiction,6.0,Colorado,Mixed,State and local funding
123,Denver Juvenile,GJ        ,GJ        ,S,False,Jury trials.,https://www.courts.state.co.us/Courts/Denver_Juvenile/Index.cfm,28,General Jurisdiction,General Jurisdiction,6.0,Colorado,State,State funded
124,Denver Probate,GJ        ,GJ        ,S,False,Jury trials.,https://www.courts.state.co.us/Courts/Denver_Probate/Index.cfm,29,General Jurisdiction,General Jurisdiction,6.0,Colorado,State,State funded
125,District,GJ        ,GJ        ,S,True,Jury trials except in appeals.,https://www.courts.state.co.us/Courts/District/Choose.cfm,30,General Jurisdiction,General Jurisdiction,6.0,Colorado,State,State funded
126,Municipal,LJ        ,LJ        ,L,False,Jury trials.,-99,31,Limited Jurisdiction,Limited Jurisdiction,6.0,Colorado,Local,Locally funded
127,Water,GJ        ,GJ        ,S,False,District court judges serve jury trials.,https://www.courts.state.co.us/Courts/Water/Index.cfm,32,General Jurisdiction,General Jurisdiction,6.0,Colorado,State,State funded
15,Supreme Court,COLR      ,COLR      ,S,False,-99,https://www.jud.state.ct.us/external/supapp/Default.htm,33,Court of Last Resource,Court of Last Resource,7.0,Connecticut,State,State funded
16,Appellate Court,IAC       ,IAC       ,S,True,-99,https://www.jud.state.ct.us/external/supapp/appellate.htm,34,Intermediate Appellate Court,Intermediate Appellate Court,7.0,Connecticut,State,State funded
128,Probate,LJ        ,LJ        ,L,False,No jury trials.,http://www.ctprobate.gov/Pages/Welcome.aspx,35,Limited Jurisdiction,Limited Jurisdiction,7.0,Connecticut,Local,Locally funded
129,Superior,GJ        ,GJ        ,S,True,Jury trials in most cases.,https://www.jud.state.ct.us/external/super/default.htm,36,General Jurisdiction,General Jurisdiction,7.0,Connecticut,State,State funded
17,Supreme Court,COLR      ,COLR      ,S,False,-99,https://courts.delaware.gov/supreme/,37,Court of Last Resource,Court of Last Resource,8.0,Delaware,State,State funded
130,Aldermans,LJ        ,LJ        ,L,False,No jury trials. Jurisdiction varies by localities.,-99,38,Limited Jurisdiction,Limited Jurisdiction,8.0,Delaware,Local,Locally funded
131,Court of Chancery,GJ        ,GJ        ,S,False,No jury trials.,https://courts.delaware.gov/chancery/,39,General Jurisdiction,General Jurisdiction,8.0,Delaware,State,State funded
132,Court of Common Pleas,LJ        ,LJ        ,S,True,Jury trials in some cases.,https://courts.delaware.gov/commonpleas/,40,Limited Jurisdiction,Limited Jurisdiction,8.0,Delaware,State,State funded
133,Family,LJ        ,GJ        ,S,False,No jury trials.,https://courts.delaware.gov/family/,41,Limited Jurisdiction,General Jurisdiction,8.0,Delaware,State,State funded
134,Justice of the Peace,LJ        ,LJ        ,S,False,Jury trials in Landlord/Tenant.,https://courts.delaware.gov/jpcourt/,42,Limited Jurisdiction,Limited Jurisdiction,8.0,Delaware,State,State funded
135,Superior,GJ        ,GJ        ,S,True,Jury trials except in appeals.,https://courts.delaware.gov/superior/,43,General Jurisdiction,General Jurisdiction,8.0,Delaware,State,State funded
18,Court of Appeals,COLR      ,COLR      ,S,True,-99,https://www.dccourts.gov/internet/appellate/main.jsf,44,Court of Last Resource,Court of Last Resource,9.0,District of Columbia,State,State funded
136,Superior,GJ        ,GJ        ,S,True,Jury trials.,https://www.dccourts.gov/internet/superior/main.jsf,45,General Jurisdiction,General Jurisdiction,9.0,District of Columbia,State,State funded
19,Supreme Court,COLR      ,COLR      ,S,True,-99,http://www.floridasupremecourt.org/,46,Court of Last Resource,Court of Last Resource,10.0,Florida,State,State funded
20,District Court of Appeal,IAC       ,IAC       ,S,True,-99,http://www.flcourts.org/florida-courts/district-court-appeal.stml,47,Intermediate Appellate Court,Intermediate Appellate Court,10.0,Florida,State,State funded
