Election,HINDI,Jurisdiction,AbsenteeApplications,BallotsSent,BallotsReturned,InPersonAbsentee,county_fips
2021 Spring Primary,1,ADAMS,652,529,97,3,55001
2021 Spring Primary,2,ASHLAND,736,672,130,10,55003
2021 Spring Primary,3,BARRON,1344,1273,217,4,55005
2021 Spring Primary,4,BAYFIELD,848,811,85,3,55007
2021 Spring Primary,5,BROWN,16468,16276,3678,215,55009
2021 Spring Primary,6,BUFFALO,301,191,22,0,55011
2021 Spring Primary,7,BURNETT,587,472,56,0,55013
2021 Spring Primary,8,CALUMET,2096,2053,371,23,55015
2021 Spring Primary,9,CHIPPEWA,2286,2205,438,16,55017
2021 Spring Primary,10,CLARK,681,493,125,3,55019
2021 Spring Primary,11,COLUMBIA,2551,2487,399,18,55021
2021 Spring Primary,12,CRAWFORD,563,382,81,3,55023
2021 Spring Primary,13,DANE,46018,45296,8640,268,55025
2021 Spring Primary,14,DODGE,3301,3244,762,33,55027
2021 Spring Primary,15,DOOR,1522,1466,218,7,55029
2021 Spring Primary,16,DOUGLAS,2632,2622,628,2,55031
2021 Spring Primary,17,DUNN,1685,1655,367,7,55033
2021 Spring Primary,18,EAU CLAIRE,3942,3910,951,85,55035
2021 Spring Primary,19,FLORENCE,198,148,48,0,55037
2021 Spring Primary,20,FOND DU LAC,4565,4333,913,54,55039
2021 Spring Primary,21,FOREST,320,281,41,0,55041
2021 Spring Primary,22,GRANT,1783,1401,267,7,55043
2021 Spring Primary,23,GREEN,1938,1923,595,79,55045
2021 Spring Primary,24,GREEN LAKE,635,582,141,4,55047
2021 Spring Primary,25,IOWA,1295,1267,261,7,55049
2021 Spring Primary,26,IRON,428,423,83,1,55051
2021 Spring Primary,27,JACKSON,450,371,85,1,55053
2021 Spring Primary,28,JEFFERSON,3483,3179,623,48,55055
2021 Spring Primary,29,JUNEAU,886,700,120,5,55057
2021 Spring Primary,30,KENOSHA,9113,9022,1800,100,55059
2021 Spring Primary,31,KEWAUNEE,755,747,199,0,55061
2021 Spring Primary,32,LA CROSSE,6637,6530,1895,149,55063
2021 Spring Primary,33,LAFAYETTE,598,554,109,2,55065
2021 Spring Primary,34,LANGLADE,610,495,103,3,55067
2021 Spring Primary,35,LINCOLN,1260,1190,98,3,55069
2021 Spring Primary,36,MANITOWOC,3187,3128,739,25,55071
2021 Spring Primary,37,MARATHON,5983,5848,1296,41,55073
2021 Spring Primary,38,MARINETTE,1908,1884,434,29,55075
2021 Spring Primary,39,MARQUETTE,586,446,70,0,55077
2021 Spring Primary,40,MENOMINEE,65,65,7,0,55078
2021 Spring Primary,41,MILWAUKEE,64385,63995,6690,400,55079
2021 Spring Primary,42,MONROE,1341,1312,314,3,55081
2021 Spring Primary,43,OCONTO,1331,1168,292,11,55083
2021 Spring Primary,44,ONEIDA,2110,1925,325,3,55085
2021 Spring Primary,45,OUTAGAMIE,8536,8417,1658,66,55087
2021 Spring Primary,46,OZAUKEE,4972,4936,880,36,55089
2021 Spring Primary,47,PEPIN,157,105,13,1,55091
2021 Spring Primary,48,PIERCE,1389,1366,147,3,55093
2021 Spring Primary,49,POLK,1322,1200,143,1,55095
2021 Spring Primary,50,PORTAGE,3105,3074,703,33,55097
2021 Spring Primary,51,PRICE,495,444,72,0,55099
2021 Spring Primary,52,RACINE,9683,9589,1017,21,55101
2021 Spring Primary,53,RICHLAND,693,523,77,5,55103
2021 Spring Primary,54,ROCK,7773,7672,1486,23,55105
2021 Spring Primary,55,RUSK,411,368,62,0,55107
2021 Spring Primary,56,ST. CROIX,3733,3668,561,13,55109
2021 Spring Primary,57,SAUK,3053,2860,644,20,55111
2021 Spring Primary,58,SAWYER,946,918,155,1,55113
2021 Spring Primary,59,SHAWANO,1346,1268,308,8,55115
2021 Spring Primary,60,SHEBOYGAN,5827,5737,1607,130,55117
2021 Spring Primary,61,TAYLOR,384,307,65,0,55119
2021 Spring Primary,62,TREMPEALEAU,733,562,75,1,55121
2021 Spring Primary,63,VERNON,993,724,50,2,55123
2021 Spring Primary,64,VILAS,1111,1060,190,2,55125
2021 Spring Primary,65,WALWORTH,4184,4043,755,44,55127
2021 Spring Primary,66,WASHBURN,746,622,67,1,55129
2021 Spring Primary,67,WASHINGTON,6337,6088,1187,73,55131
2021 Spring Primary,68,WAUKESHA,22433,21970,3887,147,55133
2021 Spring Primary,69,WAUPACA,1876,1849,372,11,55135
2021 Spring Primary,70,WAUSHARA,742,732,122,6,55137
2021 Spring Primary,71,WINNEBAGO,8267,8221,1880,60,55139
2021 Spring Primary,72,WOOD,3233,3200,768,14,55141
2021 Spring Primary,99999,TOTAL,308543,300477,53764,2397,
